,mof,conc,p,ad,q,std,heat,status,coul,vdw
118,KIYMAI_clean_min_charges,0,750000,ethane,0.0015440652,0.0012343216,-18.31869,finished,0.00000,-3122.360316
119,KIYMAI_clean_min_charges,0,1000000,ethane,-0.0037721812,0.0018052935,-18.3677,finished,0.00000,-4037.088237
120,KIYMAI_clean_min_charges,0_0.06,1,ethene,1.2301e-06,7.554e-07,-25.77411,finished,0.00000,-0.069469
121,KIYMAI_clean_min_charges,0_0.06,10,ethene,1.39024e-05,4.8911e-06,-25.31074,finished,0.00000,-0.793865
122,KIYMAI_clean_min_charges,0_0.06,100,ethene,0.000142226,9.5437e-06,-25.41472,finished,0.00000,-8.036540
123,KIYMAI_clean_min_charges,0_0.06,1000,ethene,0.0014394416,4.94941e-05,-25.49585,finished,0.00000,-81.563829
124,KIYMAI_clean_min_charges,0_0.06,5000,ethene,0.0070838972,0.0001821354,-25.43551,finished,0.00000,-400.272797
125,KIYMAI_clean_min_charges,0_0.06,10000,ethene,0.0138350461,0.0002814632,-25.48442,finished,0.00000,-782.978820
126,KIYMAI_clean_min_charges,0_0.06,25000,ethene,0.0329137491,0.0011452353,-25.53566,finished,0.00000,-1865.849958
127,KIYMAI_clean_min_charges,0_0.06,50000,ethene,0.0608540385,0.0010570394,-25.55455,finished,0.00000,-3459.536949
128,KIYMAI_clean_min_charges,0_0.06,66700,ethene,0.0779046592,0.0019591918,-25.63353,finished,0.00000,-4436.397597
129,KIYMAI_clean_min_charges,0_0.06,75000,ethene,0.0846165457,0.0017239628,-25.63209,finished,0.00000,-4826.709591
130,KIYMAI_clean_min_charges,0_0.06,100000,ethene,0.107158,0.0015637232,-25.72377,finished,0.00000,-6121.710538
131,KIYMAI_clean_min_charges,0_0.06,250000,ethene,0.1936057786,0.0025988759,-25.82509,finished,0.00000,-11229.278229
132,KIYMAI_clean_min_charges,0_0.06,500000,ethene,0.2690298868,0.0047467833,-25.93237,finished,0.00000,-16008.849530
