MOF,Eform,Efermi,K,G
ISEQIH,-1.3429055,0.112731695,35.8244022900062,21.842282000242
ISIMAZ,-0.40194467,-0.32236862,17.685248437654,8.93683615773144
ISOHEE,-0.3730827,-1.7366574,30.0151377353532,13.0205839121091
IXISAJ,-0.120382756,0.20048475,16.4922319510882,8.75638076647232
IXISOX,-0.08302136,0.64338064,17.9650186102085,9.49308687831826
IXODUV,-0.82000977,-1.9332645,32.9001296169769,16.9285288451358
IXOFAD,-0.8241093,-2.0676014,32.1932584011549,16.4673841790249
IXOFEH,-0.8237871,-2.0572336,32.281596279439,16.5912197634481
IXOFIL,-0.8233928,-2.0865772,32.417427357696,16.6286877334915
IXUREZ,-0.44275618,-1.4391558,22.2569797358799,13.2166178754746
IYIGEC,-0.4961937,0.6462927,18.7954762764332,8.72946657051481
IYUJAO,-0.56236404,-0.841208,21.2088376020033,12.9999853100961
JAVNIE,0.05819976,-0.9641433,55.0768761879235,9.71625711285386
JIVFUQ,-1.1399636,-1.9545963,36.0445382289687,12.7267808541372
KAVROQ,-1.3724023,-2.8483083,40.024060644443,21.6167711999061
KAXQIL,-0.71711844,0.13013458,24.9150204744409,9.62998323814823
KAXQOR,-0.7158934,0.08103299,23.1354948597504,9.13436703232693
KAXQOR01,-0.7181915,0.094632626,24.2736882445044,9.68789226376185
KAYBIX,-0.9660865,-0.75125456,27.7107431167664,18.8908783149621
KAYBUJ,-0.9709747,-1.2407706,29.6678683769965,19.8271061059581
KEFBEE,-0.5212918,-3.299516,44.9021830552614,19.4814212779147
KEWZOD,-0.35392362,-1.9369237,30.8589789177483,14.6030914251071
KEXKAB,-0.65082014,-1.2275479,21.2812127381973,13.5344805767414
KEXKEF,-0.59154606,-1.5120509,18.6631935906441,10.5958314258909
KINHAS,-0.31291026,0.122387886,16.417927070947,9.06583793931232
KINKAV,-0.21040526,-0.9945955,17.7376857499694,9.97840729512897
KIXXOG,-0.6687699,-1.4276888,21.8704309046851,16.7501910870017
KIYMAI,-0.6671947,-1.370158,19.7492110228205,15.4713420696031
KOMHAW,-0.5828925,-1.3916042,34.0362739023836,16.8384282567759
KUNWEW,-0.46250522,-0.28425097,19.7618567291002,13.7222567801258
LABJUV,-0.042594913,0.4934144,15.3571465867344,7.0496864886595
LACJAC,-0.48841274,-0.6374357,23.5937391673424,15.0023365911264
LAGCED,-0.15578343,-1.5287435,20.2987979939828,7.60686341550769
LAGNUE,-0.88953555,-1.5778863,23.779185810654,17.5644143874677
LASYOU,-0.5427933,-2.4456842,40.2555251599073,17.580785327396
LAVSUY,-1.1050242,-1.315697,37.650478266008,22.5904741985514
LAWGEW,-0.6885319,-3.3162796,41.205918345141,14.4390621023097
LAWGIA,-0.6911969,-3.3259876,41.1071032586689,14.3985144019028
LAWGOG,-0.69115204,-3.326132,41.1053882070711,14.3944007062656
LAWGUM,-0.6911553,-3.3266728,41.1070242744577,14.395910110308
LEDCAA,-0.00010821223,-0.65240717,39.1560136696417,12.5020618938609
LEGGEK,-0.4242692,-0.9578378,23.5076977567936,15.296077933295
LELMIA01,-0.95501244,-1.3002722,29.7473413711503,15.9290779525081
LEMNOH,0.40973082,-3.2763789,50.1628121254428,26.8826580631307
LENRUS,-0.25819722,0.8042972,15.071115864095,6.88931168112617
LIFWEE,-0.5078477,-0.87525606,32.0427245804996,16.1569802892459
LIFWOO,-0.3922425,-0.9203961,19.0925737634107,10.4116222094482
LIHSEB,-0.044708524,-0.49168825,18.7282388163923,9.63650654070656
LIKFOB,-0.994594,-1.0529542,43.4318494173007,19.8859050098975
LOFZUB,-3.1303985,-3.2334034,13.4518653276504,26.9652746869554
LUVTEC,-0.4888605,-1.0788713,19.934621411599,12.1226426269276
MADVUJ,-0.15815888,0.51199484,14.1706015780815,6.97822348379244
MADWAQ,-0.14777036,1.7687457,14.443878401663,7.53578262886608
MAKXAZ,-0.35696083,-0.73877287,17.8124378469581,10.1231553095273
MATTUX,-0.38707522,-1.0759678,21.3669215169817,15.3067251218765
MATVAF,-0.37719968,-1.395941,25.5578868650161,19.2752846864819
MATVEJ,-0.35270697,-1.8918335,32.0437272709335,18.5900906085309
MEJQEZ,-0.3733012,-1.4001095,28.7059740641785,15.2548360720487
MIBQAR,-0.69041175,-3.3279746,41.104496859829,14.3052327523952
MIBQAR16,-0.689246,-3.2916286,41.0026497131113,14.0850544628503
MIBQAR18,-0.69111055,-3.326617,41.0948850772672,14.3925951611791
MIDRAT,-0.34355637,-0.85049534,17.9878103125839,8.12695035108858
MIHHOA,-0.34514385,-0.9625869,16.3989474518579,9.62634406108263
MIKJAR,-1.1993563,-0.22984338,36.8363971236627,24.4645531511292
MIMVEJ,-0.46816313,-1.8808544,20.8686791854835,10.9241680262658
MOCKEV,-0.49104047,-2.7290432,42.4180753844988,17.4140123281529
MODNIC,0.22489317,-4.270932,43.2340333483767,3.75569625556306
MOGVAG,-0.6606429,-0.7719884,32.6441697723681,16.1958858422711
MOYYEF,-0.3834534,-0.92858315,22.2513843132394,15.0699617233569
MOYYIJ,-0.3806566,-1.3406289,25.3258538016536,14.9393856327856
MUVGOA,-0.015040118,-3.4956968,40.7005190641518,18.8839260424119
NADZEZ,-1.1475265,-0.99388313,24.6086826953506,21.0832372965678
NAKLIW,-0.7304298,-2.2709458,32.3813117196137,13.6020960678161
NALWOO,-0.4315049,-0.54088664,16.6193424677815,13.5328126116374
NARTUX,-0.8383173,1.0152694,19.1735725906558,15.5368970603271
NASCIV,-0.18470195,-0.5669775,25.3959122495036,14.4774268915603
NEHZIK,-0.4790131,-0.84272027,18.9897771781192,12.0923798978441
NEVJEF,-0.60022545,-0.3084407,19.8309433220593,13.2369347743147
NIRDOI,-0.398321,-0.4252448,17.2916375023036,10.8251182617722
NISCOJ,-0.31130633,-1.2477958,23.7745389427745,12.352498053364
NOCKUM,-0.8812879,-1.3605149,27.553466713303,15.7049248276553
NUTQAV,-0.42468122,-2.7925866,40.5296141807193,18.5120140192633
NUTQEZ,-0.19782561,-2.5305536,39.696046294929,16.7232240132282
NUVWIL,-1.219814,-1.4949496,37.7687785856413,17.250000314317
NUYWOU,-0.25800425,-1.8529499,22.7474521046466,10.1181437753192
ODIXEG,-0.37708974,-1.8306997,28.8283109382969,14.6932569186242
ODODIW,-0.45655137,-1.3847201,24.3839753855861,13.2086028173499
OFORUX,-0.20000851,1.2029454,14.5739394407415,6.44563358530955
OFUYUL,-0.7706037,-2.6232235,38.5842590597174,15.8885191482834
OHAKIS,-0.2944359,-1.4614313,21.7664094119567,10.1689152463231
OHOLIH,-0.48556846,-0.58757186,21.4273694028419,17.6139839549704
OJICUG,-0.9135183,-4.178919,34.9276126794112,18.0239987899425
OSAXAI,-0.28457475,-0.41788816,19.5420914243317,11.414235728637
OTAVOV,-0.41747326,-0.975575,18.618376433657,12.5286720060216
OVICUS,-0.49095565,0.03590989,19.9754612643888,12.5581409186151
PAKXIK,-0.4712549,-1.9574206,24.1762200584405,14.2288717987548
PAMVEG,-0.41861084,-1.0830746,17.6662342118409,8.99780568595623
PAPXUB,-0.16444288,-0.6582756,14.211392924346,7.24049820587037
PASKAX,-0.32167596,-0.21103358,17.3391949950204,9.9433226778075
PASTOU,-0.16792779,-0.45501995,14.7466152857216,6.83829769599537
PEGBUA,-0.2154451,-0.80038476,21.9734777825168,10.923037623948
PELNEA01,-0.83336014,-0.34280276,22.8523164904788,14.5693157190869
PEMRIK,-0.3935403,-1.3241093,23.1599697344753,15.5345601719298
PEPXIS,-0.23582429,-1.2373941,29.3884608633493,12.8007399254704
PEVPUD,-0.5029463,-3.4793718,55.0725223685211,12.2483084488326
PEVQEO,-0.6909846,-3.330592,41.1103078889363,14.3980836140243
PIFPIE,-0.4338332,-1.4107115,22.6161913436569,13.9608277900499
PIHNUQ,-0.4810326,-0.80930185,18.2601028599375,10.8910959872042
PIJJOI,-0.361634,-1.2447073,19.3440082498368,10.6987724103897
PORVUO,-0.2849507,-0.86130404,19.3579247401619,10.4608796310413
PUQXUV,-0.7841288,-1.281522,19.4178265235788,12.4147163403598
PUQYAC,-0.78526837,-1.3005965,19.5333498977686,12.4180938400155
PUSDOX,-0.39406824,-0.8215561,19.6122561325545,12.8564046879963
PUWCUF,-0.6609926,-2.139428,18.7403027954581,16.3011023148798
QARTEK,-0.4349808,-1.1376193,15.0538543514297,9.90857628179767
QATHOK,-0.35415664,-1.3379123,18.8011315680726,9.7539562501325
QAVWAN,-0.38397744,-0.84185314,19.8390283985179,14.2308677393591
QESYOD,-0.17099153,0.4834454,14.2171322754011,8.50571341447004
QEVKOS,-0.18705775,-0.28546095,13.2673958614354,8.93420195102006
QEYWUN,-0.31801718,-0.95475125,24.6686574556067,13.2419425466039
QIFLUO,-0.4179503,-1.1763399,23.7746433567972,12.7115309660357
QOCRUW,-0.91339904,-1.6759188,27.8586914536138,21.8429415127551
QOJVAM,-0.082294896,-0.71576405,28.091544377013,6.11188943837085
QOKCID,-0.57631946,0.18331671,19.480202098325,13.8161012907177
QOMDUS,-1.1251137,-2.12098,35.9714178049849,19.1885199147631
QOMFAA,-0.5224517,-2.0151985,22.3001471484268,13.7857539512056
QUGNOV,-0.50969386,-0.20592046,21.2813062019249,12.2049512719255
