,mof,conc,p,ad,q,std,heat,status
198,GULPIN_clean_min_charges,0_0.08,1000,ethane,,,,Nosubmission
199,GULPIN_clean_min_charges,0_0.08,5000,ethane,,,,Nosubmission
200,GULPIN_clean_min_charges,0_0.08,10000,ethane,,,,Nosubmission
201,GULPIN_clean_min_charges,0_0.08,25000,ethane,,,,Nosubmission
202,GULPIN_clean_min_charges,0_0.08,50000,ethane,,,,Nosubmission
203,GULPIN_clean_min_charges,0_0.08,66700,ethane,,,,Nosubmission
204,GULPIN_clean_min_charges,0_0.08,75000,ethane,,,,Nosubmission
205,GULPIN_clean_min_charges,0_0.08,100000,ethane,,,,Nosubmission
206,GULPIN_clean_min_charges,0_0.08,250000,ethane,,,,Nosubmission
207,GULPIN_clean_min_charges,0_0.08,500000,ethane,,,,Nosubmission
208,GULPIN_clean_min_charges,0_0.08,750000,ethane,,,,Nosubmission
209,GULPIN_clean_min_charges,0_0.08,1000000,ethane,,,,Nosubmission
210,AVIMOI_clean_min_charges,0_0.12,1,ethene,0.0001269869,9.8684e-06,-28.70334,finished
211,AVIMOI_clean_min_charges,0_0.12,10,ethene,0.0012968043,2.83906e-05,-28.58828,finished
212,AVIMOI_clean_min_charges,0_0.12,100,ethene,0.0128988832,0.0001275338,-28.60258,finished
213,AVIMOI_clean_min_charges,0_0.12,1000,ethene,0.1209979653,0.0007280905,-28.59811,finished
214,AVIMOI_clean_min_charges,0_0.12,5000,ethene,0.4866781807,0.002018884,-28.46678,finished
215,AVIMOI_clean_min_charges,0_0.12,10000,ethene,0.7781645833,0.0078020171,-28.40492,finished
216,AVIMOI_clean_min_charges,0_0.12,25000,ethene,1.1991515749,0.0032692527,-28.32735,finished
217,AVIMOI_clean_min_charges,0_0.12,50000,ethene,1.5129000696,0.0047784846,-28.26774,finished
218,AVIMOI_clean_min_charges,0_0.12,66700,ethene,1.6243354458,0.0034965691,-28.378,finished
219,AVIMOI_clean_min_charges,0_0.12,75000,ethene,1.6734920341,0.0021490704,-28.4059,finished
220,AVIMOI_clean_min_charges,0_0.12,100000,ethene,1.7734316454,0.0045567052,-28.51096,finished
221,AVIMOI_clean_min_charges,0_0.12,250000,ethene,2.0253405747,0.006083801,-28.50443,finished
222,AVIMOI_clean_min_charges,0_0.12,500000,ethene,2.1572120677,0.0022340184,-28.27232,finished
223,AVIMOI_clean_min_charges,0_0.12,750000,ethene,2.2060342903,0.0038021119,-28.10187,finished
224,AVIMOI_clean_min_charges,0_0.12,1000000,ethene,2.2287219619,0.0095722936,-27.84045,finished
225,AVIMOI_clean_min_charges,0_0.12,1,ethane,0.0005832606,1.87377e-05,-33.78381,finished
226,AVIMOI_clean_min_charges,0_0.12,10,ethane,0.0058806026,0.0001083114,-33.75396,finished
227,AVIMOI_clean_min_charges,0_0.12,100,ethane,0.0571544901,0.0004461748,-33.75144,finished
228,AVIMOI_clean_min_charges,0_0.12,1000,ethane,0.4517597446,0.0033491044,-33.65054,finished
229,AVIMOI_clean_min_charges,0_0.12,5000,ethane,1.124563303,0.0049969565,-33.1958,finished
230,AVIMOI_clean_min_charges,0_0.12,10000,ethane,1.4118708004,0.0035862124,-33.14122,finished
231,AVIMOI_clean_min_charges,0_0.12,25000,ethane,1.7205319429,0.0060983871,-33.23725,finished
232,AVIMOI_clean_min_charges,0_0.12,50000,ethane,1.9003868151,0.00746457,-33.7266,finished
233,AVIMOI_clean_min_charges,0_0.12,66700,ethane,1.9669536113,0.0087024513,-33.70102,finished
234,AVIMOI_clean_min_charges,0_0.12,75000,ethane,1.9881687588,0.0099798774,-33.45148,finished
235,AVIMOI_clean_min_charges,0_0.12,100000,ethane,2.0404283501,0.0067393421,-33.73836,finished
236,AVIMOI_clean_min_charges,0_0.12,250000,ethane,2.1838070847,0.0048406561,-33.68646,finished
237,AVIMOI_clean_min_charges,0_0.12,500000,ethane,2.2407523168,0.0062850439,-33.55562,finished
238,AVIMOI_clean_min_charges,0_0.12,750000,ethane,2.261957598,0.0067502028,-33.02097,finished
239,AVIMOI_clean_min_charges,0_0.12,1000000,ethane,2.2602250025,0.0076460592,-31.93894,finished
240,AVIMOI_clean_min_charges,0_0.06,1,ethene,,,,Nosubmission
241,AVIMOI_clean_min_charges,0_0.06,10,ethene,,,,Nosubmission
242,AVIMOI_clean_min_charges,0_0.06,100,ethene,,,,Nosubmission
243,AVIMOI_clean_min_charges,0_0.06,1000,ethene,,,,Nosubmission
244,AVIMOI_clean_min_charges,0_0.06,5000,ethene,,,,Nosubmission
245,AVIMOI_clean_min_charges,0_0.06,10000,ethene,,,,Nosubmission
246,AVIMOI_clean_min_charges,0_0.06,25000,ethene,,,,Nosubmission
247,AVIMOI_clean_min_charges,0_0.06,50000,ethene,,,,Nosubmission
248,AVIMOI_clean_min_charges,0_0.06,66700,ethene,,,,Nosubmission
249,AVIMOI_clean_min_charges,0_0.06,75000,ethene,,,,Nosubmission
250,AVIMOI_clean_min_charges,0_0.06,100000,ethene,,,,Nosubmission
251,AVIMOI_clean_min_charges,0_0.06,250000,ethene,,,,Nosubmission
252,AVIMOI_clean_min_charges,0_0.06,500000,ethene,,,,Nosubmission
253,AVIMOI_clean_min_charges,0_0.06,750000,ethene,,,,Nosubmission
254,AVIMOI_clean_min_charges,0_0.06,1000000,ethene,,,,Nosubmission
255,AVIMOI_clean_min_charges,0_0.06,1,ethane,,,,Nosubmission
256,AVIMOI_clean_min_charges,0_0.06,10,ethane,,,,Nosubmission
257,AVIMOI_clean_min_charges,0_0.06,100,ethane,,,,Nosubmission
258,AVIMOI_clean_min_charges,0_0.06,1000,ethane,,,,Nosubmission
259,AVIMOI_clean_min_charges,0_0.06,5000,ethane,,,,Nosubmission
260,AVIMOI_clean_min_charges,0_0.06,10000,ethane,,,,Nosubmission
261,AVIMOI_clean_min_charges,0_0.06,25000,ethane,,,,Nosubmission
262,AVIMOI_clean_min_charges,0_0.06,50000,ethane,,,,Nosubmission
263,AVIMOI_clean_min_charges,0_0.06,66700,ethane,,,,Nosubmission
264,AVIMOI_clean_min_charges,0_0.06,75000,ethane,,,,Nosubmission
265,AVIMOI_clean_min_charges,0_0.06,100000,ethane,,,,Nosubmission
266,AVIMOI_clean_min_charges,0_0.06,250000,ethane,,,,Nosubmission
267,AVIMOI_clean_min_charges,0_0.06,500000,ethane,,,,Nosubmission
268,AVIMOI_clean_min_charges,0_0.06,750000,ethane,,,,Nosubmission
269,AVIMOI_clean_min_charges,0_0.06,1000000,ethane,,,,Nosubmission
270,CUNWEO_clean_min_charges,0_0.03,1,ethene,,,,Nosubmission
271,CUNWEO_clean_min_charges,0_0.03,10,ethene,,,,Nosubmission
272,CUNWEO_clean_min_charges,0_0.03,100,ethene,,,,Nosubmission
273,CUNWEO_clean_min_charges,0_0.03,1000,ethene,,,,Nosubmission
274,CUNWEO_clean_min_charges,0_0.03,5000,ethene,,,,Nosubmission
275,CUNWEO_clean_min_charges,0_0.03,10000,ethene,,,,Nosubmission
276,CUNWEO_clean_min_charges,0_0.03,25000,ethene,,,,Nosubmission
277,CUNWEO_clean_min_charges,0_0.03,50000,ethene,,,,Nosubmission
278,CUNWEO_clean_min_charges,0_0.03,66700,ethene,,,,Nosubmission
279,CUNWEO_clean_min_charges,0_0.03,75000,ethene,,,,Nosubmission
280,CUNWEO_clean_min_charges,0_0.03,100000,ethene,,,,Nosubmission
281,CUNWEO_clean_min_charges,0_0.03,250000,ethene,,,,Nosubmission
282,CUNWEO_clean_min_charges,0_0.03,500000,ethene,,,,Nosubmission
283,CUNWEO_clean_min_charges,0_0.03,750000,ethene,,,,Nosubmission
284,CUNWEO_clean_min_charges,0_0.03,1000000,ethene,,,,Nosubmission
285,CUNWEO_clean_min_charges,0_0.03,1,ethane,,,,Nosubmission
286,CUNWEO_clean_min_charges,0_0.03,10,ethane,,,,Nosubmission
287,CUNWEO_clean_min_charges,0_0.03,100,ethane,,,,Nosubmission
